Ville: Lambersart, Dept: 32, Hab: 28 027
Ville: Lille, Dept: 32, Hab: 236 782
Ville: Marcq-en-Barœul, Dept: 32, Hab: 39 697
Ville: Maubeuge, Dept: 32, Hab: 29 995
Ville: Roubaix, Dept: 32, Hab: 96 953
Ville: Tourcoing, Dept: 32, Hab: 98 170
Ville: Valenciennes, Dept: 32, Hab: 44 509
Ville: Villeneuve-d'Ascq, Dept: 32, Hab: 63 085
Ville: Wattrelos, Dept: 32, Hab: 41 570
Ville: Beauvais, Dept: 32, Hab: 57 548
Ville: Compiègne, Dept: 32, Hab: 41 660
Ville: Creil, Dept: 32, Hab: 36 091
Ville: Alençon, Dept: 28, Hab: 27 221
Ville: Arras, Dept: 32, Hab: 41 973
Ville: Béthune, Dept: 32, Hab: 25 753
Ville: Boulogne-sur-Mer, Dept: 32, Hab: 42 293
Ville: Calais, Dept: 32, Hab: 75 719
Ville: Hénin-Beaumont, Dept: 32, Hab: 26 260
Ville: Lens, Dept: 32, Hab: 31 080
Ville: Liévin, Dept: 32, Hab: 31 337
Ville: Clermont-Ferrand, Dept: 84, Hab: 146 112
Ville: Anglet, Dept: 75, Hab: 39 995
Ville: Bayonne, Dept: 75, Hab: 51 943
Ville: Biarritz, Dept: 75, Hab: 25 518
Ville: Pau, Dept: 75, Hab: 79 022
Ville: Tarbes, Dept: 76, Hab: 41 862
Ville: Perpignan, Dept: 76, Hab: 123 602
Ville: Haguenau, Dept: 44, Hab: 35 024
Ville: Illkirch-Graffenstaden, Dept: 44, Hab: 27 505
Ville: Schiltigheim, Dept: 44, Hab: 32 024
Ville: Strasbourg, Dept: 44, Hab: 283 515
Ville: Colmar, Dept: 44, Hab: 71 445
Ville: Mulhouse, Dept: 44, Hab: 110 468
Ville: Bron, Dept: 84, Hab: 41 589
Ville: Caluire-et-Cuire, Dept: 84, Hab: 43 546
Ville: Décines-Charpieu, Dept: 84, Hab: 28 249
Ville: Lyon 1er Arrondissement, Dept: 84, Hab: 30 423
Ville: Lyon 2e Arrondissement, Dept: 84, Hab: 30 857
Ville: Lyon 3e Arrondissement, Dept: 84, Hab: 103 506
Ville: Lyon 4e Arrondissement, Dept: 84, Hab: 36 524
Ville: Lyon 5e Arrondissement, Dept: 84, Hab: 49 998
Ville: Lyon 6e Arrondissement, Dept: 84, Hab: 52 282
Ville: Lyon 7e Arrondissement, Dept: 84, Hab: 82 651
